g_x: 12, g_y: -21450, g_z: -2742, roll: 14.2896265928, pitch: 0.55854138742, yaw: -4.51056386655, addr: dccb, time[s]: 391.69, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 329, g_y: 2126, g_z: 72, roll: -8.872384996, pitch: 2.2285457981, yaw: -25.3205528571, addr: fc43, time[s]: 392.6, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1395, g_y: 1029, g_z: -1251, roll: -53.4037362334, pitch: -35.6341555793, yaw: -15.4166317115, addr: dcb9, time[s]: 392.81, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1695, g_y: 1103, g_z: 63, roll: 56.7097492823, pitch: 1.84196349438, yaw: 48.2384739755, addr: db4a, time[s]: 393.04, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -572, g_y: 1353, g_z: 1681, roll: 27.0406369618, pitch: 41.5645151375, yaw: 18.7295278835, addr: dcd5, time[s]: 393.27, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 14, g_y: 4679, g_z: -2740, roll: 14.2740597379, pitch: 0.56054903615, yaw: -4.47452565405, addr: dccb, time[s]: 396.72, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 339, g_y: 2126, g_z: 95, roll: -8.80445193451, pitch: 2.32362715399, yaw: -25.1389927686, addr: fc43, time[s]: 397.64, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1411, g_y: 1036, g_z: -1249, roll: -53.3795368732, pitch: -35.640282259, yaw: -15.4277683349, addr: dcb9, time[s]: 397.87, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1704, g_y: 1098, g_z: 79, roll: 56.910812976, pitch: 1.82245668755, yaw: 48.3180251888, addr: db4a, time[s]: 398.1, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 1878, g_y: -165, g_z: 662, roll: -89.3096411341, pitch: 13.5917357926, yaw: 76.8367458228, addr: dcd5, time[s]: 398.33, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 8, g_y: -25399, g_z: -2750, roll: 14.2098568135, pitch: 0.56687747322, yaw: -4.54562621577, addr: dccb, time[s]: 401.78, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 329, g_y: 2132, g_z: 75, roll: -8.80137749561, pitch: 2.33694687664, yaw: -25.1325228719, addr: fc43, time[s]: 402.7, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1405, g_y: 1026, g_z: -1254, roll: -53.3434085876, pitch: -35.6958185271, yaw: -15.4279954387, addr: dcb9, time[s]: 402.93, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1703, g_y: 1095, g_z: 65, roll: 57.0334319471, pitch: 1.81374563504, yaw: 48.3765872307, addr: db4a, time[s]: 403.05, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -1434, g_y: -125, g_z: 1331, roll: 89.7715804881, pitch: 45.7466092304, yaw: 78.2459572826, addr: dcd5, time[s]: 403.39, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 7, g_y: -21189, g_z: -2752, roll: 14.2042253225, pitch: 0.563157261278, yaw: -4.51763481989, addr: dccb, time[s]: 406.84, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 324, g_y: 2123, g_z: 84, roll: -8.80102915596, pitch: 2.32790093142, yaw: -25.1471224012, addr: fc43, time[s]: 407.76, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1400, g_y: 1042, g_z: -1258, roll: -53.3239152277, pitch: -35.63598607, yaw: -15.4321942975, addr: dcb9, time[s]: 407.99, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1699, g_y: 1083, g_z: 70, roll: 57.201830261, pitch: 1.79616792977, yaw: 48.4290123477, addr: db4a, time[s]: 408.09, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 1035, g_y: 1442, g_z: 1012, roll: -30.1968810377, pitch: 29.0708253152, yaw: -20.0754473953, addr: dcd5, time[s]: 408.32, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 1, g_y: 7316, g_z: -2782, roll: 14.0271441305, pitch: 0.553749422748, yaw: -4.49883344354, addr: dccb, time[s]: 411.9, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 332, g_y: 2135, g_z: 80, roll: -8.83573505468, pitch: 2.27617099963, yaw: -25.1278937112, addr: fc43, time[s]: 412.82, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1394, g_y: 1043, g_z: -1259, roll: -53.3114842834, pitch: -35.6125926721, yaw: -15.4402556283, addr: dcb9, time[s]: 412.92, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1704, g_y: 1097, g_z: 71, roll: 57.3016739663, pitch: 1.76412900647, yaw: 48.4793166909, addr: db4a, time[s]: 413.11, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 896, g_y: 764, g_z: 1618, roll: -36.5824795342, pitch: 56.9726125276, yaw: -32.5589721885, addr: dcd5, time[s]: 413.35, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 4, g_y: 4724, g_z: -2781, roll: 14.0539423777, pitch: 0.560772564762, yaw: -4.60499080494, addr: dccb, time[s]: 416.85, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 328, g_y: 2128, g_z: 79, roll: -8.87668460008, pitch: 2.27865185241, yaw: -25.0905889255, addr: fc43, time[s]: 417.76, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1406, g_y: 1017, g_z: -1254, roll: -53.3092132455, pitch: -35.6106836342, yaw: -15.4101464469, addr: dcb9, time[s]: 417.95, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1711, g_y: 1112, g_z: 69, roll: 57.3145078918, pitch: 1.75521134074, yaw: 48.5367961479, addr: db4a, time[s]: 418.15, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 6, g_y: -12219, g_z: -2778, roll: 14.0741179028, pitch: 0.577393029695, yaw: -4.61708920439, addr: dccb, time[s]: 421.88, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 346, g_y: 2130, g_z: 94, roll: -9.11948757979, pitch: 2.29516789015, yaw: -25.0579884326, addr: fc43, time[s]: 422.79, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
